CO2
T      |    eta_VSS   |   eta_VHS     
_________________________________________________________________________________
200    |     1.14438e-05    |     1.17299e-05
400    |     1.97461e-05    |     2.02398e-05
600    |     2.71685e-05    |     2.78477e-05
800    |     3.40716e-05    |     3.49234e-05
1000    |     4.06126e-05    |     4.16279e-05
1200    |     4.68788e-05    |     4.80508e-05
1400    |     5.29254e-05    |     5.42485e-05
1600    |     5.879e-05    |     6.02598e-05
1800    |     6.45001e-05    |     6.61126e-05
2000    |     7.00764e-05    |     7.18283e-05
2200    |     7.55349e-05    |     7.74233e-05
2400    |     8.08886e-05    |     8.29108e-05
2600    |     8.6148e-05    |     8.83017e-05
2800    |     9.13218e-05    |     9.36048e-05
3000    |     9.64174e-05    |     9.88279e-05
3200    |     0.000101441    |     0.000103977
3400    |     0.000106398    |     0.000109058
3600    |     0.000111294    |     0.000114076
3800    |     0.000116132    |     0.000119035
4000    |     0.000120916    |     0.000123938
4200    |     0.000125649    |     0.00012879
4400    |     0.000130334    |     0.000133593
4600    |     0.000134974    |     0.000138349
4800    |     0.000139572    |     0.000143061
5000    |     0.000144129    |     0.000147732
5200    |     0.000148647    |     0.000152363
5400    |     0.000153128    |     0.000156956
5600    |     0.000157574    |     0.000161514
5800    |     0.000161987    |     0.000166036
6000    |     0.000166367    |     0.000170526
6200    |     0.000170716    |     0.000174984
6400    |     0.000175035    |     0.000179411
6600    |     0.000179326    |     0.000183809
6800    |     0.000183589    |     0.000188178
7000    |     0.000187825    |     0.000192521
7200    |     0.000192036    |     0.000196836
7400    |     0.000196221    |     0.000201127
7600    |     0.000200383    |     0.000205393
7800    |     0.000204522    |     0.000209635
8000    |     0.000208638    |     0.000213854
8200    |     0.000212732    |     0.00021805
8400    |     0.000216805    |     0.000222225
8600    |     0.000220857    |     0.000226379
8800    |     0.000224889    |     0.000230512
9000    |     0.000228902    |     0.000234625
9200    |     0.000232896    |     0.000238718
9400    |     0.000236871    |     0.000242793
9600    |     0.000240829    |     0.00024685
9800    |     0.000244769    |     0.000250888
10000    |     0.000248692    |     0.000254909
