875
p T x1 x2 x3 x4 x5
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 5.000000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 3.750000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 5.000000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 1.250000000000000000e-01 5.000000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 2.500000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 3.750000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 1.250000000000000000e-01 5.000000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 2.500000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 2.500000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 2.500000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 2.500000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 2.500000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 2.500000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 2.500000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 2.500000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 2.500000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 3.750000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 3.750000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 3.750000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 3.750000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 3.000000000000000000e+02 5.000000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 5.000000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 3.750000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 5.000000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 1.250000000000000000e-01 5.000000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01
1.000000000000000000e+05 1.475000000000000000e+03 1.250000000000000000e-01 2.500000000000000000e-01 1.250000000000000000e-01 3.750000000000000000e-01 1.250000000000000000e-01
